S.No,Name of the Station,Month,Highest Maximum Temperature (in Celsius),Mean Maximum Temperature (in Celsius),Lowest Minimum Temperature (in Celsius),Mean Minimum Temperature (in Celsius),Percentage of Humidity at 08.30 Hours,Percentage of Humidity at 17.30 Hours
59,AMS Tiruchirappalli,April'2019,40.8,39.6,24.6,27.1,69,42
60,AMS Tiruchirappalli,May'2019,42.6,41,23.6,28.1,64,37
61,Kodaikanal,June'2018,21.6,18.9,11.3,12.5,80,90
62,Kodaikanal,July'2018,19.8,17.5,9.7,11.6,84,92
63,Kodaikanal,August'2018,19,17.1,10.1,11.8,86,92
64,Kodaikanal,September'2018,20.9,18.6,10.3,11.9,80,90
65,Kodaikanal,October'2018,19.8,17.2,8.7,10.9,83,90
66,Kodaikanal,November'2018,20.1,16.5,8.3,10.3,81,87
67,Kodaikanal,December'2018,20.2,16.6,5.9,9.5,79,84
68,Kodaikanal,January'2019,21.5,18.8,6.8,9.1,38,64
69,Kodaikanal,February'2019,22.1,18.7,6,10.1,62,80
70,Kodaikanal,March'2019,22.5,20.6,9.3,11.4,51,74
71,Kodaikanal,April'2019,22.2,21.2,10.7,12.5,52,80
72,Kodaikanal,May'2019,24.1,22,10.4,13.9,62,85
73,AMS-Madurai,June'2018,39.5,37.3,24.9,26.4,62 62,47
74,AMS-Madurai,July'2018,39.2,36.6,23.6,26.2,60,49
75,AMS-Madurai,August'2018,38.8,36.6,23,25.7,62,52
76,AMS-Madurai,September'2018,37.9,35.3,22.6,24.2,69,54
77,AMS-Madurai,October'2018,36.6,33,22.6,24.1,78,66
78,AMS-Madurai,November'2018,35.1,31.7,21.2,23.4,80,68
79,AMS-Madurai,December'2018,34.4,31.9,21.5,22.6,77,57
80,AMS-Madurai,January'2019,35,32.5,17.2,20.2,71,41
81,AMS-Madurai,February'2019,38.7,35.2,20.2,23,68,39
82,AMS-Madurai,March'2019,41,38.1,22.3,24.4,67,31
83,AMS-Madurai,April'2019,40.6,39.4,23.2,26.5,63,37
84,AMS-Madurai,May'2019,42,40.7,24.8,27.6,61,42
85,Kanniyakumari,June'2018,30.3,30.6,24.1,24.7,87,86
86,Kanniyakumari,July'2018,31.1,30.4,23.5,24.3,86,87
87,Kanniyakumari,August'2018,30.1,30.5,22.6,24.2,84,84
88,Kanniyakumari,September'2018,30.8,30.6,23.5,24.4,76,83
89,Kanniyakumari,October'2018,31.4,30.5,24.1,24.4,81,83
90,Kanniyakumari,November'2018,31.5,30.3,23.6,24.2,81,77
91,Kanniyakumari,December'2018,31.9,30.5,23.8,23.9,77,74
92,Kanniyakumari,January'2019,32.2,31.1,22.4,23.6,70,70
93,Kanniyakumari,February'2019,33.5,31.8,24.2,24,75,75
94,Kanniyakumari,March'2019,34.1,32.4,25.1,25.3,70,70
95,Kanniyakumari,April'2019,34.6,32.8,26.8,26.3,73,74
96,Kanniyakumari,May'2019,33.6,32.4,27.1,26.3,79,84
97,Nungambakkam (Chennai North),June'2017,41.1,37.6,24.3,28.8,61,55
